Product Name,Sales,Profit,TE,Credit,Amazon Fee,Profit Percentage
Wireless Headphones,1250.00,375.00,150.00,50.00,125.00,30.00
Bluetooth Speaker,850.00,255.00,100.00,30.00,85.00,30.00
Gaming Mouse,450.00,135.00,60.00,20.00,45.00,30.00
Smart Watch,2000.00,800.00,200.00,80.00,200.00,40.00
Laptop Stand,300.00,75.00,40.00,15.00,30.00,25.00
USB Cable,75.00,15.00,10.00,5.00,7.50,20.00
Phone Case,120.00,48.00,15.00,8.00,12.00,40.00
Power Bank,180.00,54.00,25.00,10.00,18.00,30.00
Tablet Stand,95.00,38.00,12.00,6.00,9.50,40.00
Desk Lamp,220.00,44.00,30.00,12.00,22.00,20.00
Portable SSD,600.00,240.00,80.00,25.00,60.00,40.00
Wireless Keyboard,320.00,96.00,35.00,15.00,32.00,30.00
Fitness Tracker,480.00,192.00,50.00,20.00,48.00,40.00
Noise Cancelling Earbuds,900.00,180.00,90.00,35.00,90.00,20.00
Mini Projector,1500.00,600.00,180.00,60.00,150.00,40.00